City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Coruripe,BR,78.96,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
436,Poladpur,IN,66.31,clear sky,17.9802,73.466,SPOT ON 68232 Captian Vikram Rao More Hall
439,Saint-Pierre,RE,74.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
440,Mabaruma,GY,74.12,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
441,Anloga,GH,81.03,scattered clouds,5.7947,0.8973,Pin Drop Hotel
442,Mitsamiouli,KM,79.23,clear sky,-11.3847,43.2844,Foyer ADM
447,Vallenar,CL,73.04,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
448,Bataipora,BR,75.72,clear sky,-22.2953,-53.2711,Hotel Vale do Ivinhema
450,Nago,JP,64.47,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
453,Matamoros,MX,72.1,scattered clouds,25.5333,-103.25,Quinta Belem
455,Puerto Baquerizo Moreno,EC,69.08,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
457,Kavieng,PG,81.77,light rain,-2.5744,150.7967,Nusa Island Retreat
461,Juruti,BR,76.5,overcast clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
463,Nieuw Amsterdam,SR,80.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
468,Bajitpur,BD,64.44,clear sky,24.2167,90.95,Hotel Chand
469,Kudahuvadhoo,MV,81.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
470,Marawi,PH,72.64,scattered clouds,7.9986,124.2928,Derogongan Residence
472,Sao Joao Da Barra,BR,73.81,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
473,Kisangani,CD,69.69,light rain,0.5167,25.2,Grand Ramela Hotel
480,Anton Lizardo,MX,79.21,clear sky,19.05,-95.9833,Hotel CocoAventura
482,Laredo,US,71.6,clear sky,27.5064,-99.5075,La Posada Hotel
483,Gisborne,NZ,70.95,scattered clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
485,Xique-Xique,BR,81.01,overcast clouds,-10.8218,-42.7263,Hotel J. Macedo
488,Esperance,AU,64.69,few clouds,-33.8667,121.9,Hospitality Esperance
489,Pathein,MM,67.48,clear sky,16.7833,94.7333,New Pammawaddy Hotel
