City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
379,Kaitangata,100,NZ,2021-12-15 00:47:29,77,-46.2817,169.8464,59.94,16.84
380,Erdaojiang,88,CN,2021-12-15 00:47:29,92,41.7764,126.0319,22.28,1.14
381,Jupiter,36,US,2021-12-15 00:47:29,85,26.9342,-80.0942,77.05,8.01
382,Yulara,100,AU,2021-12-15 00:47:30,50,-25.2406,130.9889,78.64,12.66
383,Rorvik,56,NO,2021-12-15 00:47:30,77,64.8621,11.2373,45.28,31.36
384,Pacific Grove,39,US,2021-12-15 00:47:30,73,36.6177,-121.9166,51.48,4.0
385,Naro,1,IT,2021-12-15 00:47:31,84,37.2935,13.7936,43.88,5.95
386,Goundam,100,ML,2021-12-15 00:47:31,20,16.4145,-3.6708,79.05,10.29
387,Beidao,100,CN,2021-12-15 00:47:31,83,34.5686,105.8933,36.3,2.28
388,Lively,100,CA,2021-12-15 00:47:31,79,46.4334,-81.1498,29.21,6.46
389,Singarayakonda,100,IN,2021-12-15 00:47:32,79,15.25,80.0333,72.9,7.27
390,Soyo,100,AO,2021-12-15 00:47:32,90,-6.1349,12.3689,78.49,5.55
391,Skibbereen,68,IE,2021-12-15 00:47:32,94,51.55,-9.2667,51.6,12.37
392,Kruisfontein,0,ZA,2021-12-15 00:47:33,89,-34.0033,24.7314,57.88,2.71
393,Airai,9,TL,2021-12-15 00:47:33,50,-8.9266,125.4092,75.0,1.39
394,San-Pedro,100,CI,2021-12-15 00:47:33,87,4.7485,-6.6363,79.03,6.8
395,Bahir Dar,96,ET,2021-12-15 00:47:34,45,11.5936,37.3908,58.32,3.76
396,Jasper,40,US,2021-12-15 00:47:34,77,37.2001,-94.3502,66.0,10.0
397,Hamilton,90,US,2021-12-15 00:47:13,58,39.1834,-84.5333,54.45,0.0
398,Chuy,93,UY,2021-12-15 00:47:35,87,-33.6971,-53.4616,67.75,8.59
399,Bakchar,32,RU,2021-12-15 00:47:35,98,57.0186,82.0711,-15.39,6.29
400,Puerto Narino,100,CO,2021-12-15 00:47:36,95,-3.7703,-70.3831,76.95,2.62
401,Paita,41,PE,2021-12-15 00:47:36,85,-5.0892,-81.1144,68.56,13.58
402,Chamba,0,IN,2021-12-15 00:47:36,41,32.5667,76.1333,41.49,10.0
403,Takoradi,91,GH,2021-12-15 00:44:04,83,4.8845,-1.7554,79.97,7.09
404,Madang,100,PG,2021-12-15 00:47:37,78,-5.2246,145.7966,82.8,2.77
405,Camana,98,PE,2021-12-15 00:47:37,86,-16.6228,-72.7111,69.21,6.44
406,Ashtabula,1,US,2021-12-15 00:47:37,90,41.7001,-80.7665,45.32,3.44
407,Richards Bay,15,ZA,2021-12-15 00:47:38,89,-28.783,32.0377,69.55,2.91
408,Bjerringbro,100,DK,2021-12-15 00:47:38,88,56.378,9.6607,46.81,15.79
409,Mitsamiouli,47,KM,2021-12-15 00:47:38,77,-11.3847,43.2844,79.81,12.3
410,Qeshm,60,IR,2021-12-15 00:47:39,54,26.9581,56.2719,58.89,9.48
411,Zanjan,100,IR,2021-12-15 00:48:39,55,36.6736,48.4787,39.27,6.93
412,Sechura,11,PE,2021-12-15 00:48:39,75,-5.5569,-80.8222,70.36,16.04
413,Half Moon Bay,40,US,2021-12-15 00:48:40,77,37.4636,-122.4286,50.25,11.5
414,Lutkun,80,RU,2021-12-15 00:48:40,45,41.4808,47.6858,44.15,12.62
